id,eigenkapital_2014,loehne_und_gehaelter_2014,gesamtbezuege_2014,anzahl_vorstaende_2014,jahresueberschuss_2014,anmerkungen_2014,eigenkapital_2013,loehne_und_gehaelter_2013,gesamtbezuege_2013,anzahl_vorstaende_2013,jahresueberschuss_2013,anmerkungen_2013,sparkasse,vergebene_kredite_2014,notleidende_kredite_2014,npl_quote_2014,vergebene_unternehmenskredite_2014,notleidende_unternehmenskredite_2014,npl_quote_unternehmen_2014,vergebene_privatkredite_2014,notleidende_privatkredite_2014,npl_quote_privat_2014,vergebene_kredite_2013,notleidende_kredite_2013,npl_quote_2013,vergebene_unternehmenskredite_2013,notleidende_unternehmenskredite_2013,npl_quote_unternehmen_2013,vergebene_privatkredite_2013,notleidende_privatkredite_2013,npl_quote_privat_2013,mitarbeiter_2013,mitarbeiter_2014,bilanzsumme_2013,bilanzsumme_2014,verband,state
300,48592178.0,9155633.0,,2.0,1391625.0,,50001366.0,8780687.0,,2.0,1010164.0,,Sparkasse Haslach-Zell,1237000000.0,32268000.0,2.92,400180000.0,20489000.0,5.12,403500000.0,11779000.0,2.92,,,,,,,,,,257.0,252.0,1017800000.0,994200000.0,SVBW,Baden-Württemberg
301,99701870.0,9908249.0,,3.0,2055392.0,,97646477.0,9424177.0,,3.0,2577013.0,,Kreissparkasse Walsrode,1146770000.0,36969000.0,1.45,373683000.0,30893000.0,8.27,418464000.0,6076000.0,1.45,,,,,,,,,,252.0,250.0,951800000.0,955700000.0,SVN,Niedersachsen
303,42009080.0,11032942.0,,2.0,827468.0,,41181612.0,10080602.0,,2.0,754743.0,,Sparkasse Ostprignitz-Ruppin,1244457000.0,20673000.0,1.66,357024000.0,16958000.0,4.75,215115000.0,3579000.0,1.66,,,,,,,,,,282.0,279.0,965400000.0,1010800000.0,OSV,Brandenburg
304,69205432.63,9610828.14,,2.0,2566712.7,,66638719.93,9143964.62,,2.0,2957912.61,Sparkasseneigene Stiftungen vorhanden,Sparkasse Donauwörth,1214729000.0,3565000.0,0.08,411874000.0,3243000.0,0.79,386367000.0,299000.0,0.08,,,,,,,,,,294.0,293.0,964577994.56,1013631012.0,SVB,Bayern
307,54778080.0,10264331.0,,2.0,573919.0,,54204161.0,10054197.0,,2.0,563071.0,,Sparkasse Wilhelmshaven,1008000000.0,35900000.0,1.62,330000000.0,27800000.0,8.42,438000000.0,7100000.0,1.62,,,,,,,,,,240.0,237.0,921700000.0,835550000.0,SVN,Niedersachsen
308,38871155.0,9775353.0,,2.0,1241671.0,,37629483.0,9577575.0,,2.0,1225686.0,,Sparkasse Altmark West,1025186000.0,16939000.0,1.03,243132000.0,14075000.0,5.79,278430000.0,2864000.0,1.03,,,,,,,,,,259.0,246.0,896000000.0,911266691.0,OSV,Sachsen-Anhalt
311,37130833.0,7938308.0,,2.0,1232425.0,,38966159.0,7879613.0,,2.0,1209142.0,,Sparkasse Engen-Gottmadingen,1220168000.0,22896000.0,1.45,359989000.0,16256000.0,4.52,458432000.0,6640000.0,1.45,,,,,,,,,,201.0,196.0,907900000.0,930500000.0,SVBW,Baden-Württemberg
312,62643086.0,10977570.0,,2.0,2190310.0,,60452776.0,10743032.0,,2.0,1082237.0,,Stadtsparkasse Cuxhaven,1154200000.0,21300000.0,0.61,462000000.0,18900000.0,4.09,394800000.0,2400000.0,0.61,,,,,,,,,,276.0,258.0,891000000.0,907000000.0,SVN,Niedersachsen
314,31524040.0,5531387.0,,2.0,351000.0,,31173431.0,5247933.0,,2.0,280121.0,,Bezirkssparkasse Reichenau,1111800000.0,22429000.0,1.8,528145000.0,13467000.0,2.55,498930000.0,8962000.0,1.8,,,,,,,,,,125.0,132.0,880700000.0,927000000.0,SVBW,Baden-Württemberg
317,35192351.0,8908697.0,,2.0,1352818.0,,34039534.0,7864541.0,,2.0,1388796.0,,Sparkasse Muldental,1015294600.0,4629300.0,1.92,90904200.0,2286800.0,2.52,122038500.0,2342500.0,1.92,,,,,,,,,,219.0,198.0,869351000.0,925389000.0,OSV,Sachsen
318,50450058.0,8624105.0,,2.0,1238283.0,,49211775.0,8481535.0,,2.0,1786677.0,,Sparkasse Uckermark,1021713500.0,13924000.0,3.0,183329000.0,7970000.0,4.35,198176800.0,5954000.0,3.0,,,,,,,,,,214.0,208.0,860050000.0,895400000.0,OSV,Brandenburg
